saleid,ProductID,Date,Zip,Units,Revenue
0,604,2005-01-05,45434,1,5937.75
1,996,2010-06-14,30721,1,8756.37
2,967,2002-12-15,77545,1,7874.37
3,826,2013-12-07,85382,1,15113.7
4,1830,2006-12-01,93063,1,3653.37
5,185,2007-02-01,85225,1,9954.0
6,2212,2006-04-12,6612,1,1070.37
7,36,2000-06-15,6092,1,4977.0
8,976,2002-09-27,48066,1,3779.37
9,2067,2007-02-01,74350,1,6488.37
10,1915,2006-04-24,37774,1,5669.37
11,2054,2005-10-27,40220,1,6834.87
12,1994,2006-01-21,90291,1,7118.37
13,2284,2010-08-23,21219,1,4157.37
14,2251,2004-05-11,6831,1,1511.37
15,8,2007-07-24,95404,1,4740.75
16,2045,2005-10-28,19044,1,5165.37
17,103,2001-12-18,80435,1,10262.7
18,674,2008-03-25,44044,1,8564.85
19,990,2000-09-27,70471,1,5165.37
20,1217,2004-11-17,34655,1,6929.37
21,726,2002-05-07,95363,1,1448.37
22,2388,2001-11-04,47150,1,3716.37
23,1987,2008-01-31,48837,1,1952.37
24,609,2001-12-29,13210,1,9761.85
25,2396,2003-08-26,92201,1,1070.37
26,702,2007-04-09,95422,1,3684.87
27,2343,2004-04-28,85122,1,5354.37
28,826,2006-09-30,78374,1,13733.37
29,599,2007-01-24,37022,1,10643.85
30,797,2006-10-30,43138,1,3716.37
31,596,2002-08-25,77303,1,9320.85
32,758,2001-09-29,46038,1,1007.37
33,559,2002-01-10,82730,1,7226.1
34,990,2006-02-28,33327,1,5228.37
35,794,2006-02-16,37772,1,975.87
36,730,2002-03-14,12461,1,3716.37
37,674,2007-08-28,33176,1,8564.85
38,609,2007-01-12,70460,1,10854.9
39,791,2010-06-30,86335,1,849.87
40,2090,2007-10-23,74063,1,4283.37
41,559,2003-12-10,8060,1,7720.65
42,103,2002-09-19,44306,1,10262.7
43,8,2008-01-21,68508,1,4740.75
44,826,2003-09-29,53593,1,11339.37
45,598,2014-12-20,59044,1,11654.37
46,359,2010-10-29,90025,1,13730.85
47,426,2008-04-02,32189,1,11431.35
48,1053,2005-06-22,33611,1,3212.37
49,1178,2008-10-30,98926,1,7086.87
50,2054,2007-10-27,27889,1,7181.37
51,2352,2001-11-02,94539,1,4409.37
52,2205,2006-04-24,20851,1,1763.37
53,1104,2012-11-30,61748,1,1826.37
54,650,2007-02-02,8332,1,5981.85
55,689,2004-11-19,44211,1,4091.85
56,2070,2002-09-21,43113,1,6299.37
57,2045,2010-12-15,95765,1,6173.37
58,797,2000-11-08,94578,1,3653.37
59,734,2010-10-05,91709,1,4535.37
60,2241,2001-12-13,44432,1,1038.87
61,902,2014-10-01,60172,1,1889.37
62,2345,2006-09-20,29340,1,5165.37
63,2235,2000-02-15,28754,1,786.87
64,792,2006-10-22,95969,1,818.37
65,604,2008-10-27,45152,1,6233.85
66,1085,2003-07-07,72455,1,1008.0
67,562,2008-09-11,62401,1,11100.6
68,2237,2005-10-11,77614,1,2078.37
69,792,2005-01-03,95005,1,755.37
70,760,2008-06-26,89108,1,1952.37
71,757,2003-09-12,93630,1,881.37
72,604,2004-12-02,59714,2,11875.5
73,1168,1999-12-15,28792,1,4409.37
74,2363,2013-10-06,11358,1,12593.7
75,989,2000-12-15,17702,1,5228.37
76,9,2010-11-29,90404,1,6926.85
77,1182,2006-09-22,30501,1,1889.37
78,1106,2007-08-08,29732,1,3117.87
79,559,2009-08-17,60638,1,7559.37
80,780,2006-07-07,85053,1,3905.37
81,2388,2001-09-28,76424,1,3716.37
82,31,2004-03-02,11209,1,9135.0
83,1008,2001-05-13,95125,1,3149.37
84,803,2006-06-30,32092,1,1889.37
85,1186,2009-09-25,25045,1,4598.37
86,574,1999-09-15,95120,1,9966.6
87,1180,2009-07-30,79603,1,6173.37
88,647,2006-02-03,97068,1,10958.85
89,976,2006-02-28,48125,1,3842.37
90,1124,2007-05-01,76904,1,8252.37
91,1213,2002-05-08,46902,1,6803.37
92,921,2000-10-12,79705,1,6299.37
93,551,2004-09-16,42274,1,11084.85
94,1964,2005-08-17,16201,1,1070.37
95,506,2011-04-19,45157,1,14930.37
96,733,2003-12-30,58042,1,3968.37
97,1229,2004-11-24,16510,1,2960.37
98,735,2007-12-30,33029,1,4598.37
99,1961,2000-11-30,32208,1,1183.77
100,202,2012-11-25,62922,1,17135.37
101,585,2013-09-18,77510,1,5039.37
102,786,2001-02-17,96003,1,818.37
103,786,2001-03-01,98576,1,818.37
104,487,2007-09-29,75693,1,12722.85
105,2087,2010-02-28,73012,1,8693.37
106,2081,2004-09-30,8046,1,2708.37
107,990,2001-08-12,84121,1,5291.37
108,1177,2014-01-08,92058,1,3149.37
109,586,2006-11-11,90260,1,4621.05
110,925,2014-11-30,32725,1,3968.37
111,769,1999-11-15,87120,1,3086.37
112,2367,2011-03-11,37743,1,5726.7
113,420,2008-11-03,75032,1,14660.1
114,757,2003-08-26,43443,1,881.37
115,1171,2013-10-09,78645,1,4724.37
116,1086,2005-12-15,77084,1,1038.87
117,2234,2003-11-19,48661,1,849.87
118,1181,2005-04-05,95404,1,5039.37
119,762,2005-03-24,19508,1,2141.37
120,1909,2006-05-30,85367,1,2456.37
121,595,2005-12-15,87830,1,8879.85
122,792,2006-04-28,50569,1,786.87
